date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:12	41461/41461	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Apr%202016%2017:17:58%20GMT	https://www.jazz.com.pk/assets/uploads/2015/04/Internet-Menu-1.jpg	C:/Websites/Jazz/www.jazz.com.pk/assets/uploads/2015/04/Internet-Menu-1.jpg	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:13	93863/93863	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:12%20GMT	https://www.jazz.com.pk/postpaid/jazz-voiler/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-voiler/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:14	98646/98646	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:13%20GMT	https://www.jazz.com.pk/postpaid/jazztunes/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazztunes/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:15	93085/93085	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:14%20GMT	https://www.jazz.com.pk/postpaid/jazz-power-tools/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-power-tools/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:16	89598/89598	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:15%20GMT	https://www.jazz.com.pk/postpaid/call-sms-block-service/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/call-sms-block-service/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:17	21580/21580	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Sep%202016%2018:37:14%20GMT	https://www.jazz.com.pk/assets/uploads/2016/03/57-JazzFun-364x224.jpg	C:/Websites/Jazz/www.jazz.com.pk/assets/uploads/2016/03/57-JazzFun-364x224.jpg	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:17	89266/89266	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:16%20GMT	https://www.jazz.com.pk/postpaid/jazz-station/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-station/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:18	95304/95304	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:17%20GMT	https://www.jazz.com.pk/postpaid/jazz-locator/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/jazz-locator/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:19	89007/89007	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20May%202018%2005:18:18%20GMT	https://www.jazz.com.pk/postpaid/bizstore/	C:/Websites/Jazz/www.jazz.com.pk/postpaid/bizstore/index.html	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
10:18:20	23566/23566	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Sep%202016%2018:42:19%20GMT	https://www.jazz.com.pk/assets/uploads/2016/03/59-Jazz-Music-364x224.jpg	C:/Websites/Jazz/www.jazz.com.pk/assets/uploads/2016/03/59-Jazz-Music-364x224.jpg	(from https://www.jazz.com.pk/postpaid-services/mobile-internet/)
